lemma,aspect,nonpast,past,inf,imper,gerund,partcp.act.past,partcp.act.nonpast,partcp.pass.past,partcp.pass.nonpast,rel_usage
анализировать,ipf,15,2,26,1,14,0,0,0,15,73
арестовать,pf,52,99,11,2,2,1,0,78,0,245
белеть,ipf,14,44,3,0,1,2,7,0,0,71
беспокоить,ipf,48,39,19,1,0,0,4,0,0,111
беспокоиться,ipf,40,28,32,58,5,0,0,0,0,163
бить,ipf,178,247,127,33,3,11,13,22,0,634
биться,ipf,41,74,17,3,0,0,0,0,0,135
благодарить,ipf,98,27,20,5,4,0,0,0,0,154
болтать,ipf,21,56,14,2,6,2,1,0,0,102
бормотать,ipf,39,108,11,0,32,0,2,0,0,192
бояться,ipf,592,503,96,106,92,0,0,0,0,1389
бродить,ipf,44,113,16,0,4,7,2,0,0,186
бросать,ipf,76,91,47,23,15,1,9,0,0,262
бросаться,ipf,37,36,8,0,4,0,0,0,0,85
бросить,pf,69,433,127,113,23,10,0,124,0,899
броситься,pf,12,214,19,1,1,0,0,0,0,247
будить,ipf,13,25,20,8,2,1,0,0,0,69
валить,ipf,20,24,13,6,0,1,0,0,0,64
валять,ipf,5,3,9,32,1,0,0,0,0,50
варить,ipf,36,51,48,7,2,1,1,1,0,147
ввести,pf,29,79,90,6,6,0,0,64,0,274
вводить,ipf,49,18,28,0,6,1,1,0,5,108
вглядываться,ipf,8,36,7,0,33,0,0,0,0,84
везти,ipf,120,90,23,5,0,0,3,1,0,242
верить,ipf,470,292,196,36,27,5,4,0,0,1030
вериться,ipf,29,22,0,0,0,0,0,0,0,51
вертеть,ipf,20,34,11,4,7,0,0,0,0,76
веселиться,ipf,16,25,13,1,5,0,0,0,0,60
вести,ipf,413,480,246,32,10,6,84,2,4,1277
вешать,ipf,19,16,17,7,3,0,0,0,0,62
взвесить,pf,2,9,8,3,4,0,0,24,0,50
взволновать,pf,8,11,0,0,1,1,0,52,0,73
взглянуть,pf,21,281,75,37,39,1,0,0,0,454
вздохнуть,pf,15,449,16,1,22,0,0,0,0,503
вздрагивать,ipf,15,66,1,0,7,1,5,0,0,95
вздрогнуть,pf,5,111,3,0,5,1,0,0,0,125
вздыхать,ipf,38,52,8,0,9,1,1,0,0,109
взлететь,pf,6,47,6,0,2,2,0,0,0,63
взойти,pf,7,38,3,1,2,4,0,0,0,55
взорвать,pf,9,31,12,0,0,2,0,10,0,64
взорваться,pf,5,52,9,0,0,2,0,0,0,68
видать,ipf,3,64,49,0,0,12,0,11,0,139
видеть,ipf,1851,1927,425,1,105,21,10,11,38,4389
видеться,ipf,40,81,12,0,0,0,0,0,0,133
вкладывать,ipf,15,11,27,3,8,0,0,0,1,65
включать,ipf,154,42,42,5,1,6,70,0,4,324
включаться,ipf,40,6,9,0,0,0,0,0,0,55
включить,pf,39,106,46,8,10,2,0,97,0,308
влезть,pf,11,59,13,2,1,0,0,0,0,86
влечь,ipf,43,19,0,0,0,0,6,0,3,71
влиять,ipf,76,17,22,0,2,3,16,0,0,136
вложить,pf,14,47,20,3,2,3,0,31,0,120
влюбить,pf,9,4,0,0,0,0,0,62,0,75
влюбиться,pf,3,95,10,0,2,0,0,0,0,110
вмешаться,pf,6,53,19,0,0,0,0,0,0,78
вмешиваться,ipf,20,32,33,3,1,0,0,0,0,89
внести,pf,28,108,69,2,3,0,0,42,0,252
вносить,ipf,41,19,29,1,4,0,2,0,5,101
внушать,ipf,25,49,6,2,2,0,4,0,4,92
возбудить,pf,16,21,12,0,1,0,0,68,0,118
возвратиться,pf,7,38,10,4,8,0,0,0,0,67
возвращать,ipf,40,18,10,0,6,0,2,0,1,77
возвращаться,ipf,183,216,86,21,57,0,0,0,0,563
возвышаться,ipf,14,34,2,0,1,0,0,0,0,51
возглавить,pf,14,35,22,0,2,3,0,5,0,81
возглавлять,ipf,33,40,1,0,1,9,6,0,17,107
возить,ipf,32,63,34,4,0,2,0,0,1,136
возмутить,pf,7,12,1,0,0,0,0,36,0,56
возмутиться,pf,2,79,5,0,1,0,0,0,0,87
возмущаться,ipf,20,39,7,0,2,0,0,0,0,68
возникать,ipf,335,159,14,3,2,5,64,0,0,582
возникнуть,pf,53,409,42,2,6,119,0,0,0,631
возражать,ipf,53,61,33,1,2,1,2,0,0,153
возразить,pf,8,121,31,0,0,0,0,0,0,160
возрастать,ipf,52,17,5,0,1,0,20,0,0,95
возрасти,pf,14,52,4,0,0,22,0,0,0,92
войти,pf,93,798,105,21,43,36,0,0,0,1096
волновать,ipf,57,71,14,0,0,5,10,0,1,158
волноваться,ipf,77,114,50,55,29,0,0,0,0,325
воображать,ipf,21,8,6,0,6,1,2,0,39,83
вообразить,pf,5,21,49,29,2,1,0,1,0,108
воплотить,pf,3,2,20,0,0,2,0,25,0,52
ворваться,pf,4,46,1,0,2,0,0,0,0,53
воровать,ipf,31,27,27,5,1,1,0,3,0,95
воскликнуть,pf,11,342,8,0,2,0,0,0,0,363
восклицать,ipf,13,34,3,0,1,1,0,0,0,52
воспитать,pf,8,16,12,0,2,6,0,42,0,86
воспитывать,ipf,29,41,30,0,5,0,1,0,1,107
воспользоваться,pf,17,39,78,5,26,0,0,0,0,165
воспринимать,ipf,75,44,35,1,3,1,16,0,16,191
воспринять,pf,27,44,9,0,1,1,0,9,0,91
восстанавливать,ipf,27,10,17,0,4,0,2,0,2,62
восстановить,pf,23,29,83,2,3,0,0,18,0,158
восхищаться,ipf,15,49,16,0,7,0,0,0,0,87
впадать,ipf,24,25,6,1,7,0,2,0,0,65
врать,ipf,123,21,35,6,0,0,0,0,0,185
вручить,pf,14,52,9,0,3,1,0,6,0,85
вскакивать,ipf,15,27,0,0,10,0,0,0,0,52
вскинуть,pf,2,43,0,0,5,0,0,5,0,55
