"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"арестовать pf",-0.0342445575706865,-0.168136890244193,0.216065075153458,0.0200330666761955,0.017319551822594,0.00265876359443466,-0.00545154808522827,0.00451124075249173,1.38322513165701e-15
"беспокоить ipf",-0.139066231514274,0.170356799969522,0.010415804172532,0.0563438098109488,0.023634040148056,-0.0217461574641072,-0.0142312215494099,-0.00324275186879771,4.51244944188467e-16
"беспокоиться ipf",-0.225988800685138,0.00396916262004201,-0.128400177635106,-0.253742336246165,0.218433007369212,0.0193881072509608,-0.00577716581083439,-0.000163727593042584,-1.56103428794463e-15
"бить ipf",-0.0511742351383961,0.0437450660807074,-0.0400908679780607,0.0105731057246365,0.0390557337904368,-0.0189945662594619,0.00189279887902264,-0.00885555890682808,-1.13841228110978e-16
"биться ipf",0.0958882716481334,0.12200641703794,0.0282967387760907,0.0418200597065313,0.038497920512649,-0.000332278822321974,-0.00951086142819299,0.00358116053805919,3.84024409494366e-16
"благодарить ipf",-0.372912415041366,0.284348914683183,0.0782325074461451,0.0470479482761722,0.0508905239813873,0.0375347280918557,-0.00213314491197934,-0.00919170559949665,6.13007908323304e-16
"болтать ipf",0.135348518317871,0.0571967210014864,-0.0120109981225641,-0.0107036441703084,-0.0171002277312874,0.0115092073892175,0.00331473752232178,-0.00685996121106345,-3.39788960856957e-16
"бормотать ipf",0.157703412721926,0.0767077902296715,0.0478158301895044,-0.0736800125436038,-0.0981679300058651,0.0711518480421278,-0.0150103608600727,0.00274077046429537,-3.37620556511986e-16
"бояться ipf",-0.113095331271343,0.185981944256926,0.0775591818718032,-0.046814902465062,0.0375309356634459,0.0450417112493689,-0.00635842620998941,-0.00189720039202709,-2.53703308361608e-17
"бродить ipf",0.182297443001436,0.096043530301729,0.0479640469824544,0.0172231908169082,-0.00274184304373647,-0.0101293527454493,0.0194560360321976,-0.0150376303146742,-3.77952877328447e-16
"бросать ipf",-0.0858179793962914,0.073304135482535,-0.0509239896092429,-0.0591093959459115,0.023245768974725,0.000634463927308482,-0.0126955761788917,-0.00336203315872821,-4.62520646782316e-16
"бросить pf",0.105825214435207,-0.140483048929088,0.000251459059994459,-0.0849403523163451,0.0661033481491091,-0.000354938426802911,-0.00200005717892701,0.00209492711659202,-2.43945488809238e-16
"броситься pf",0.490056354961503,0.0124330117475903,0.0295309181610835,0.0223083025045668,0.00769943122913258,-0.0167139657844997,-0.0154939863704413,0.0139233690508344,1.61979804569334e-16
"варить ipf",-0.0862231068004117,0.00782923644222855,-0.168616087394829,0.0395937753977853,0.0307544084789969,-0.00508165547220867,-0.00553006922453159,-0.00511020260737024,1.97324795392362e-17
"ввести pf",-0.117185782120274,-0.252586225248152,-0.0964647857885102,0.0467452072820123,0.00102167807827649,-0.000333577513509842,-0.0115763019623589,0.00205733916896759,9.25258133999129e-16
"вводить ipf",-0.322395867732827,0.139282265440908,-0.0758769125577152,0.0443845596386913,-0.0179623484838371,0.0222470835027741,0.0281557983424389,0.0251633498432841,-6.27969898303604e-16
"везти ipf",-0.136814949183635,0.225947791785285,0.091420326467445,0.0485614967937348,0.0472891890186169,0.00346308468275314,-0.00786493006681645,-0.00259640599711726,5.81782885755722e-16
"верить ipf",-0.210639337046883,0.170087255312537,-0.00995294680622065,0.0370108359888764,0.0352480817303705,0.0201450064865799,-0.0024966159259859,-0.00758308175276611,3.26344853918137e-16
"вести ipf",-0.0765861558070658,0.0981736072738142,-0.0370177279165736,0.0156791473940268,0.00677899503746041,-0.0513365758385879,-0.0164377321973102,-0.00146461015801548,-9.49761103097302e-17
"взглянуть pf",0.25872800813452,-0.0444513259178056,-0.0818238007394197,-0.0801389261776303,-0.00324867201658428,0.026962307824186,-0.0126476730612723,0.00648760914706327,-5.96528035301525e-16
"вздохнуть pf",0.526751848115707,0.0140432839055423,0.0603445225593107,-0.0118601130072384,-0.0205582307081914,0.00304260302642979,-0.0161722949318001,0.0144471781704939,9.32413868337534e-18
"вздрогнуть pf",0.519752734529324,0.0214948209338142,0.0693316205162581,-0.010665198001165,-0.0193099111024678,0.000332387334496664,-0.0089281361011841,0.00997582265225469,-7.61109925084824e-17
"вздыхать ipf",0.0207062212545748,0.154312723983353,0.072815194595655,-0.00545414257448247,-0.0315962326056687,0.0367192071101858,-0.00309234078180226,-0.00479053850313099,2.10335221462188e-17
"видать ipf",0.0948105848207698,-0.178607470152701,-0.197668581145141,0.0532938861907362,-0.0145700524727928,-0.0375409780906157,0.0610196089936963,-0.0422748133609228,-1.08181692770604e-15
"видеть ipf",-0.046127263915126,0.188661840061316,0.0759359631917805,0.045285241678805,0.0151601665983067,0.0164578778433255,0.00170684380172163,0.00395974546233685,2.98806118737005e-16
"видеться ipf",0.155985301949196,0.137026908971892,0.0648824140355361,0.0535962997845162,0.0256118454524728,-0.000839779138254778,-0.00996481506573219,0.00491367620595414,4.88107818052974e-16
"включать ipf",-0.354429262073921,0.183025708920551,0.0304985454448487,-0.0491130152603565,-0.0464068014793889,-0.17180354708325,-0.0264385091954897,-0.00935643227110398,-1.09244210899639e-15
"включить pf",-0.0655374230605187,-0.252030354060711,0.0972916701447799,0.00102092284998071,0.0020699034422064,0.00840564146194588,-0.00492135390271236,0.00201558848420003,1.02240264865383e-15
"влиять ipf",-0.39328110328822,0.226106977342957,0.030168338979414,0.0191575723885691,-0.0182353602144959,-0.0772089453319293,-0.00904234918419337,-0.0227401128214941,-2.28766658394441e-16
"вложить pf",-0.0118102682295716,-0.215427984542987,0.0575454416335169,0.0097325344084843,0.0089815534932949,-0.00524103074928461,0.0107302896613852,-0.00758384904606848,5.90022822266612e-16
"влюбиться pf",0.494483280836152,-0.00437858565208125,0.0117669413588527,0.0174469950122558,-0.00642492611252081,-0.0110371561749604,-0.0160631304851878,0.013752872899802,1.59811400224363e-16
"внести pf",0.0231467808672488,-0.169565729988814,-0.069122296084322,0.0557265231080352,0.00176768203029015,-0.0063718102707115,-0.0123085818458895,0.00443368431624846,7.93419149824892e-16
"вносить ipf",-0.287986760053693,0.105536055105523,-0.109560405830721,0.0441029748304859,-0.00870845468049406,0.00296151839795169,0.0190097135475107,0.0340632415354252,-5.96744875736022e-16
"возбудить pf",-0.25201413963713,-0.446049124974747,0.259396156600554,0.0292153484626279,0.00336087226603135,0.00215044656682176,-0.00846930411802959,0.00608770328882738,2.38719634337858e-15
"возвращаться ipf",-0.0632424974462371,0.107770997165485,-0.0122104269298011,-0.029063274368047,-0.0204876654318609,0.0545290947415621,-0.00919882297379246,-0.00186660237020429,-7.39425881635114e-17
"возглавлять ipf",-0.045036368995459,0.126648850067629,0.100730976040961,-0.0619919433744617,-0.033010809488428,-0.0792737934137053,0.150334593414037,0.088676877069616,-4.40619762898109e-15
"возить ipf",0.0328217648214455,0.0390042168037502,-0.0993405652802236,0.0472043575844706,0.03119208034871,-0.00975811692611099,0.00675211567796531,1.31616621997521e-05,-1.06143392686331e-16
"возникать ipf",-0.250660022075296,0.286416309027133,0.159355461248582,0.00447974925092563,0.0030582980574941,-0.0718638789632451,-0.0190316451752345,-0.0110387288525922,8.21825246744012e-17
"возникнуть pf",0.28905172397341,0.00303810202945488,0.0227246165023874,-0.0337627293014963,-0.0182839251920677,-0.0463736776893603,0.151332774656047,-0.0933618665885236,-3.18950595101786e-15
"возражать ipf",-0.0664287577600079,0.11098682984901,-0.0448663823448736,0.059860640155281,0.013960706266789,-0.00355390372755384,-0.00566518421211644,-0.00501930157599882,3.15936513062276e-16
"возразить pf",0.376417089875109,-0.0266271265062753,-0.0730358996052955,0.0510274524727304,0.00434163221180035,-0.0196928143334547,-0.0153332400058073,0.0105862971076933,1.68918698473242e-16
"войти pf",0.35056099573979,0.0117024930449087,0.00602638765769347,-0.015787926634977,-0.00918124752769958,-0.00150827764485539,0.0143427887235248,-0.00782539724334843,-5.61833565781988e-16
"волновать ipf",-0.0116625584196256,0.155933650210453,0.0660104818666665,0.0178738608916278,-0.000416236995894781,-0.0560360099771974,0.0100831381895555,-0.0116400993400715,-4.61707495152952e-16
"волноваться ipf",-0.0571177578984175,0.0405382455983722,-0.0580205902155441,-0.1414249314827,0.0633142221058307,0.0451558331924084,-0.00909341438068048,0.000620788919675709,-8.11633746322649e-16
"вообразить pf",-0.158093187592197,-0.179721467235011,-0.369337602488397,-0.142570142756266,0.148757715757229,-0.00698302705002747,-0.00281002869243057,-0.0050184851989019,-1.41531751596258e-15
"воскликнуть pf",0.572056435045013,0.0229637415201404,0.0759960166238372,0.0125852296426538,0.00461699422577537,-0.0169659023604394,-0.0160455080688885,0.0161673897175993,1.61979804569334e-16
"воспитывать ipf",-0.0578918575515647,0.0469670760271863,-0.120473099404488,0.0505487694844551,-0.0194499202885658,0.0110616472508585,-0.0067077256213595,0.00597715792931755,7.50267903359969e-17
"воспользоваться pf",-0.144846883165151,-0.123247722279268,-0.346178228042497,-0.0175713845531009,-0.0893180862082021,0.0655588808305714,-0.0139551515119171,-0.00568211401956767,-4.76398434590131e-16
"воспринимать ipf",-0.233483025524766,0.127294849683201,-0.0258451696404413,0.00101241189385687,-0.0240352170184483,-0.0689578852377385,0.031111178992662,0.0619174867933329,-1.59941504485062e-15
"восстановить pf",-0.233250740009636,-0.19691513303124,-0.311628737368374,0.0993431486943248,-0.00524167735654613,-0.00285495064469586,-0.0116056373054689,-0.00418039920280875,6.64615931733614e-16
