token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
подойдёт,подойти,pf,fin,intr,sg,fut,indic,3,act
спросила,спросить,pf,fin,tran,sg,praet,indic,,act
расскажи,рассказать,pf,fin,tran,sg,,imper,2,act
посоветовал,посоветовать,pf,fin,tran,sg,praet,indic,,act
смеются,смеяться,ipf,fin,intr,pl,praes,indic,3,med
подарила,подарить,pf,fin,tran,sg,praet,indic,,act
умудрились,умудриться,pf,fin,intr,pl,praet,indic,,med
извините,извинить,pf,fin,tran,pl,,imper,2,act
смеётся,смеяться,ipf,fin,intr,sg,praes,indic,3,med
создал,создать,pf,fin,tran,sg,praet,indic,,act
затащить,затащить,pf,inf,tran,,,,,act
спросила,спросить,pf,fin,tran,sg,praet,indic,,act
рассказываете,рассказывать,ipf,fin,tran,pl,praes,indic,2,act
писать,писать,ipf,inf,tran,,,,,act
слышал,слышать,ipf,fin,tran,sg,praet,indic,,act
помогала,помогать,ipf,fin,intr,sg,praet,indic,,act
встречаются,встречаться,ipf,fin,intr,pl,praes,indic,3,med
стать,стать,pf,inf,intr,,,,,act
съел,съесть,pf,fin,tran,sg,praet,indic,,act
ответил,ответить,pf,fin,intr,sg,praet,indic,,act
приходит,приходить,ipf,fin,intr,sg,praes,indic,3,act
выглядите,выглядеть,ipf,fin,intr,pl,praes,indic,2,act
слышал,слышать,ipf,fin,tran,sg,praet,indic,,act
посмотреть,посмотреть,pf,inf,tran,,,,,act
схватили,схватить,pf,fin,tran,pl,praet,indic,,act
являетесь,являться,ipf,fin,intr,pl,praes,indic,2,med
слышал,слышать,ipf,fin,tran,sg,praet,indic,,act
подумать,подумать,pf,inf,intr,,,,,act
выдумывающего,выдумывать,ipf,partcp,tran,sg,praes,,,act
сообщил,сообщить,pf,fin,tran,sg,praet,indic,,act
привели,привести,pf,fin,tran,pl,praet,indic,,act
подумать,подумать,pf,inf,intr,,,,,act
удаётся,удаваться,ipf,fin,intr,sg,praes,indic,3,med
встретив,встретить,pf,ger,tran,,praet,,,act
убил,убить,pf,fin,tran,sg,praet,indic,,act
обратился,обратиться,pf,fin,intr,sg,praet,indic,,med
придумывать,придумывать,ipf,inf,tran,,,,,act
походатайствовал,походатайствовать,pf,fin,intr,sg,praet,indic,,act
спросил,спросить,pf,fin,tran,sg,praet,indic,,act
играет,играть,ipf,fin,tran,sg,praes,indic,3,act
придумал,придумать,pf,fin,tran,sg,praet,indic,,act
играет,играть,ipf,fin,tran,sg,praes,indic,3,act
надоели,надоесть,pf,fin,intr,pl,praet,indic,,act
ответил,ответить,pf,fin,intr,sg,praet,indic,,act
рассказывал,рассказывать,ipf,fin,tran,sg,praet,indic,,act
узнав,узнать,pf,ger,tran,,praet,,,act
сочиняю,сочинять,ipf,fin,tran,sg,praes,indic,1,act
спросила,спросить,pf,fin,tran,sg,praet,indic,,act
потрясающая,потрясать,ipf,partcp,tran,sg,praes,,,act
определил,определить,pf,fin,tran,sg,praet,indic,,act
прекратить,прекратить,pf,inf,tran,,,,,act
утверждаете,утверждать,ipf,fin,intr,pl,praes,indic,2,act
поздравляю,поздравлять,ipf,fin,tran,sg,praes,indic,1,act
возмутилась,возмутиться,pf,fin,intr,sg,praet,indic,,med
следует,следовать,ipf,fin,intr,sg,praes,indic,3,act
вырвалось,вырваться,pf,fin,intr,sg,praet,indic,,med
посмеяться,посмеяться,pf,inf,intr,,,,,med
приходилось,приходиться,ipf,fin,intr,sg,praet,indic,,med
занимаетесь,заниматься,ipf,fin,intr,pl,praes,indic,2,med
видите,видеть,ipf,fin,tran,pl,praes,indic,2,act
заложили,заложить,pf,fin,tran,pl,praet,indic,,act
удивилась,удивиться,pf,fin,intr,sg,praet,indic,,med
выдал,выдать,pf,fin,tran,sg,praet,indic,,act
