token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
вышла,выходить,pf,fin,intr,sg,praet,indic,None,None
отделяющем,отделять,ipf,partcp,tran,sg,praes,None,None,act
был,быть,ipf,fin,intr,sg,praet,indic,None,None
развивались,развиваться,ipf,fin,intr,pl,praet,indic,None,None
вступили,вступать,pf,fin,intr,pl,praet,indic,None,None
развивались,развиваться,ipf,fin,intr,pl,praet,indic,None,None
создавались,создаваться,ipf,fin,intr,pl,praet,indic,None,None
распадались,распадаться,ipf,fin,intr,pl,praet,indic,None,None
возникли,возникать,pf,fin,intr,pl,praet,indic,None,None
пережив,переживать,pf,ger,tran,None,praet,None,None,None
вступило,вступать,pf,fin,intr,sg,praet,indic,None,None
укрепилась,укрепляться,pf,fin,intr,sg,praet,indic,None,None
населяющие,населять,ipf,partcp,tran,pl,praes,None,None,act
стали,становиться,pf,fin,intr,pl,praet,indic,None,None
приобрели,приобретать,pf,fin,None,pl,praet,indic,None,None
может,мочь,ipf,fin,intr,sg,praes,indic,3,None
существовать,существовать,ipf,inf,intr,None,None,None,None,None
является,являться,ipf,fin,intr,sg,praes,indic,3,None
составляющих,составлять,ipf,partcp,tran,pl,praes,None,None,act
дает,давать,ipf,fin,tran,sg,praes,indic,3,None
соблюдаемых,соблюдать,ipf,partcp,tran,pl,praes,None,None,pass
имеет,иметь,ipf,fin,tran,sg,praes,indic,3,None
представляет,представлять,ipf,fin,tran,sg,praes,indic,3,None
требует,требовать,ipf,fin,tran,sg,praes,indic,3,None
имеет,иметь,ipf,fin,tran,sg,praes,indic,3,None
зародился,зарождаться,pf,fin,intr,sg,praet,indic,None,None
разработали,разрабатывать,pf,fin,tran,pl,praet,indic,None,None
зачитывали,зачитывать,ipf,fin,tran,pl,praet,indic,None,None
совершали,совершать,ipf,fin,tran,pl,praet,indic,None,None
придавали,придавать,ipf,fin,tran,pl,praet,indic,None,None
был,быть,ipf,fin,intr,sg,praet,indic,None,None
придуман,придумывать,pf,partcp,tran,sg,praet,None,None,pass
поднимал,подымать,ipf,fin,tran,sg,praet,indic,None,None
позолоченных,позолотить,pf,partcp,tran,pl,praet,None,None,pass
существовал,существовать,ipf,fin,intr,sg,praet,indic,None,None
зачитывал,зачитывать,ipf,fin,tran,sg,praet,indic,None,None
повторял,повторять,ipf,fin,tran,sg,praet,indic,None,None
передавал,передавать,ipf,fin,tran,sg,praet,indic,None,None
заключался,заключаться,ipf,fin,intr,sg,praet,indic,None,None
была,быть,ipf,fin,intr,sg,praet,indic,None,None
соблюсти,соблюдать,pf,inf,None,None,None,None,None,None
считался,считаться,ipf,fin,intr,sg,praet,indic,None,None
присягал,присягать,ipf,fin,intr,sg,praet,indic,None,None
следил,следить,ipf,fin,intr,sg,praet,indic,None,None
был,быть,ipf,fin,intr,sg,praet,indic,None,None
разработан,разрабатывать,pf,partcp,tran,sg,praet,None,None,pass
явившийся,являться,pf,partcp,intr,sg,praet,None,None,act
получил,получать,pf,fin,tran,sg,praet,indic,None,None
утвержденных,утверждать,pf,partcp,tran,pl,praet,None,None,pass
стали,становиться,pf,fin,intr,pl,praet,indic,None,None
возлагались,возлагаться,ipf,fin,intr,pl,praet,indic,None,None
имел,иметь,ipf,fin,tran,sg,praet,indic,None,None
продиктованную,продиктовать,pf,partcp,tran,sg,praet,None,None,pass
имевшим,иметь,ipf,partcp,tran,sg,praet,None,None,act
приводило,приводить,ipf,fin,tran,sg,praet,indic,None,None
было,быть,ipf,fin,intr,sg,praet,indic,None,None
происходило,происходить,ipf,fin,intr,sg,praet,indic,None,None
принимали,принимать,ipf,fin,tran,pl,praet,indic,None,None
выезжали,выезжать,ipf,fin,intr,pl,praet,indic,None,None
начала,начинать,pf,fin,tran,sg,praet,indic,None,None
меняться,меняться,ipf,inf,intr,None,None,None,None,None
уделял,уделять,ipf,fin,tran,sg,praet,indic,None,None
путешествовал,путешествовать,ipf,fin,intr,sg,praet,indic,None,None
встречался,встречаться,ipf,fin,intr,sg,praet,indic,None,None
изменилась,изменяться,pf,fin,intr,sg,praet,indic,None,None
став,становиться,pf,ger,intr,None,praet,None,None,None
привело,приводить,pf,fin,None,sg,praet,indic,None,None
был,быть,ipf,fin,intr,sg,praet,indic,None,None
создан,создавать,pf,partcp,tran,sg,praet,None,None,pass
занялся,заниматься,pf,fin,intr,sg,praet,indic,None,None
распался,распадаться,pf,fin,intr,sg,praet,indic,None,None
появилась,появляться,pf,fin,intr,sg,praet,indic,None,None
уделял,уделять,ipf,fin,tran,sg,praet,indic,None,None
стало,становиться,pf,fin,intr,sg,praet,indic,None,None
распавшегося,распадаться,pf,partcp,intr,sg,praet,None,None,act
было,быть,ipf,fin,intr,sg,praet,indic,None,None
принято,принимать,pf,partcp,None,sg,praet,None,None,pass
накопленного,накоплять,pf,partcp,tran,sg,praet,None,None,pass
разработало,разрабатывать,pf,fin,tran,sg,praet,indic,None,None
принял,принимать,pf,fin,None,sg,praet,indic,None,None
были,быть,ipf,fin,intr,pl,praet,indic,None,None
подготовлены,подготовить,pf,partcp,tran,pl,praet,None,None,pass
утверждены,утверждать,pf,partcp,tran,pl,praet,None,None,pass
утвердил,утверждать,pf,fin,None,sg,praet,indic,None,None
было,быть,ipf,fin,intr,sg,praet,indic,None,None
утверждено,утверждать,pf,partcp,tran,sg,praet,None,None,pass
было,быть,ipf,fin,intr,sg,praet,indic,None,None
дополнено,дополнять,pf,partcp,tran,sg,praet,None,None,pass
являются,являться,ipf,fin,intr,pl,praes,indic,3,None
работает,работать,ipf,fin,intr,sg,praes,indic,3,None
ведется,вестись,ipf,fin,intr,sg,praes,indic,3,None
состоявшихся,состояться,pf,partcp,intr,pl,praet,None,None,act
имеют,иметь,ipf,fin,tran,pl,praes,indic,3,None
изменяется,изменяться,ipf,fin,intr,sg,praes,indic,3,None
привела,приводить,pf,fin,None,sg,praet,indic,None,None
прибавилась,прибавляться,pf,fin,intr,sg,praet,indic,None,None
обсуждают,обсуждать,ipf,fin,tran,pl,praes,indic,3,None
