token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
перескакивая,перескакивать,ipf,ger,intr,,praes,,,act
уточняя,уточнять,ipf,ger,tran,,praes,,,act
развивая,развивать,ipf,ger,tran,,praes,,,act
подведя,подвести,pf,ger,tran,,praet,,,act
смеясь,смеяться,ipf,ger,intr,,praes,,,med
презирая,презирать,ipf,ger,tran,,praes,,,act
выстраивая,выстраивать,ipf,ger,tran,,praes,,,act
отвечая,отвечать,ipf,ger,intr,,praes,,,act
узнав,узнать,pf,ger,tran,,praet,,,act
утверждая,утверждать,ipf,ger,intr,,praes,,,act
рассказывая,рассказывать,ipf,ger,tran,,praes,,,act
занимаясь,заниматься,ipf,ger,intr,,praes,,,med
служа,служить,ipf,ger,tran,,praes,,,act
признавая,признавать,ipf,ger,tran,,praes,,,act
продолжая,продолжать,ipf,ger,tran,,praes,,,act
признавая,признавать,ipf,ger,tran,,praes,,,act
отделившись,отделиться,pf,ger,intr,,praet,,,med
устраивая,устраивать,ipf,ger,tran,,praes,,,act
напомнив,напомнить,pf,ger,tran,,praet,,,act
учредив,учредить,pf,ger,tran,,praet,,,act
получив,получить,pf,ger,tran,,praet,,,act
заявляя,заявлять,ipf,ger,tran,,praes,,,act
видя,видеть,ipf,ger,tran,,praes,,,act
занимаясь,заниматься,ipf,ger,intr,,praes,,,med
учитывая,учитывать,ipf,ger,tran,,praes,,,act
начиная,начинать,ipf,ger,tran,,praes,,,act
превращаясь,превращаться,ipf,ger,intr,,praes,,,med
подчиняясь,подчиняться,ipf,ger,intr,,praes,,,med
пытаясь,пытаться,ipf,ger,intr,,praes,,,med
умирая,умирать,ipf,ger,intr,,praes,,,act
внося,вносить,ipf,ger,tran,,praes,,,act
пряча,прятать,ipf,ger,tran,,praes,,,act
припадая,припадать,ipf,ger,intr,,praes,,,act
начиная,начинать,ipf,ger,tran,,praes,,,act
свидетельствуя,свидетельствовать,ipf,ger,intr,,praes,,,act
начиная,начинать,ipf,ger,tran,,praes,,,act
продолжая,продолжать,ipf,ger,tran,,praes,,,act
оказавшись,оказаться,pf,ger,intr,,praet,,,med
видя,видеть,ipf,ger,tran,,praes,,,act
принимая,принимать,ipf,ger,tran,,praes,,,act
учась,учиться,ipf,ger,intr,,praes,,,med
осуждая,осуждать,ipf,ger,tran,,praes,,,act
спасая,спасать,ipf,ger,tran,,praes,,,act
вводя,вводить,ipf,ger,tran,,praes,,,act
думая,думать,ipf,ger,intr,,praes,,,act
превращая,превращать,ipf,ger,tran,,praes,,,act
описывая,описывать,ipf,ger,tran,,praes,,,act
надеясь,надеяться,ipf,ger,intr,,praes,,,med
молясь,молиться,ipf,ger,intr,,praes,,,med
стоя,стоять,ipf,ger,intr,,praes,,,act
прощая,прощать,ipf,ger,tran,,praes,,,act
думая,думать,ipf,ger,intr,,praes,,,act
оставляя,оставлять,ipf,ger,tran,,praes,,,act
