lemma,form,frequency
агитировать,ipf,fin_praet_indic_act,11
агитировать,ipf,inf_act,8
агитировать,ipf,fin_praes_indic_act,6
агитировать,ipf,fin_imper_act,3
актировать,pf,fin_praet_indic_act,1
актировать,pf,fin_fut_indic_act,1
анализировать,ipf,inf_act,26
анализировать,ipf,partcp_praes_pass,15
анализировать,ipf,ger_praes_act,14
анализировать,ipf,fin_praes_indic_act,13
анализировать,ipf,fin_praet_indic_act,2
анализировать,ipf,fin_fut_act,2
анализировать,ipf,fin_imper_act,1
аннотировать,ipf,inf_act,1
арестовать,pf,fin_praet_indic_act,99
арестовать,pf,partcp_praet_pass,78
арестовать,pf,fin_fut_pass,34
арестовать,pf,fin_fut_indic_act,18
арестовать,pf,inf_act,11
арестовать,pf,ger_praet_act,2
арестовать,pf,fin_imper_act,2
арестовать,pf,partcp_praet_act,1
арестовывать,ipf,fin_praet_indic_act,18
арестовывать,ipf,inf_act,8
арестовывать,ipf,fin_praes_indic_act,5
ассигновать,pf,fin_praet_indic_act,3
асфальтировать,ipf,partcp_praet_pass,12
асфальтировать,ipf,fin_fut_pass,2
асфальтировать,ipf,fin_praet_indic_act,1
багроветь,ipf,fin_praet_indic_act,4
багроветь,ipf,fin_praes_indic_act,1
багроветь,ipf,ger_praes_act,1
баламутить,ipf,inf_act,1
балансировать,ipf,inf_act,3
балансировать,ipf,fin_praes_indic_act,2
балансировать,ipf,fin_praet_indic_act,1
балансировать,ipf,ger_praes_act,1
баловать,ipf,fin_praet_indic_act,12
баловать,ipf,fin_praes_indic_act,7
баловать,ipf,fin_imper_act,3
баловать,ipf,inf_act,3
баловать,ipf,ger_praes_act,3
баловать,ipf,partcp_praet_act,2
басить,ipf,fin_praes_indic_act,5
басить,ipf,fin_praet_indic_act,3
баюкать,ipf,fin_praet_indic_act,6
баюкать,ipf,inf_act,1
баюкать,ipf,ger_praes_act,1
беднеть,ipf,fin_praet_indic_act,1
беднеть,ipf,fin_praes_indic_act,1
безобразить,ipf,fin_praes_indic_act,2
безобразить,ipf,fin_praet_indic_act,1
безобразничать,ipf,inf_act,3
безобразничать,ipf,fin_praes_indic_act,3
безобразничать,ipf,fin_imper_act,1
белеть,ipf,fin_praet_indic_act,44
белеть,ipf,fin_praes_indic_act,14
белеть,ipf,partcp_praes_act,7
белеть,ipf,inf_act,3
белеть,ipf,partcp_praet_act,2
белеть,ipf,ger_praes_act,1
белить,ipf,partcp_praet_pass,4
белить,ipf,fin_praet_indic_act,1
белить,ipf,inf_act,1
бередить,ipf,inf_act,2
бередить,ipf,fin_praet_indic_act,2
бередить,ipf,fin_praes_indic_act,2
бередить,ipf,partcp_praes_act,1
беременеть,ipf,inf_act,1
беременеть,ipf,fin_praet_indic_act,1
беречься,ipf,fin_imper_med,16
беречься,ipf,fin_praet_indic_med,5
беречься,ipf,fin_praes_indic_med,1
беречься,ipf,inf_med,1
бесить,ipf,fin_praet_indic_act,7
бесить,ipf,fin_praes_indic_act,4
бесить,ipf,fin_imper_act,1
беситься,ipf,fin_praes_indic_med,8
беситься,ipf,fin_praet_indic_med,3
беспокоить,ipf,fin_praes_indic_act,47
беспокоить,ipf,fin_praet_indic_act,39
беспокоить,ipf,inf_act,19
беспокоить,ipf,partcp_praes_act,4
беспокоить,ipf,fin_imper_act,1
беспокоить,ipf,fin_fut_act,1
беспокоиться,ipf,fin_imper_med,58
беспокоиться,ipf,fin_praes_indic_med,38
беспокоиться,ipf,inf_med,32
беспокоиться,ipf,fin_praet_indic_med,28
беспокоиться,ipf,ger_praes_med,5
беспокоиться,ipf,fin_fut_med,2
беспокоиться,ipf,partcp_praes_med,1
бетонировать,ipf,partcp_praet_pass,2
бетонировать,ipf,inf_act,1
бинтовать,ipf,fin_praet_indic_act,2
бить,ipf,fin_praet_indic_act,247
бить,ipf,fin_praes_indic_act,169
