verb,factor1,factor2,group
рядиться ipf,-16.6140687737612,0.00234456399108701,1
поддакивать ipf,-6.95024194513633,0.00597581674851538,1
подманивать ipf,-18.611098040692,0.00852026007985501,1
загибаться ipf,-18.611098040692,0.00852026007985501,1
заглатывать ipf,-17.9241104072766,0.0088674410608468,1
сторониться ipf,-7.05375941969247,0.0119570544316541,1
разноситься ipf,-11.1619357875872,0.0147737157655702,1
показываться ipf,1.00352716087576,0.0177941689119918,1
рассылать ipf,-12.3668056145425,0.0234256100171377,1
сопоставлять ipf,-18.287693866361,0.0287415485269503,1
карать ipf,-17.679660411924,0.0400456783608579,1
ступать ipf,-7.23046534417459,0.0424720123176117,1
выкручиваться ipf,-18.9946457789001,0.044503290056276,1
пересыхать ipf,-17.8183405510395,0.049090168286793,1
заготовлять ipf,-17.8183405510395,0.049090168286793,1
притуплять ipf,-17.7919690601221,0.0527414901637085,1
выравниваться ipf,-17.7919690601221,0.0527414901637085,1
обсасывать ipf,-17.7919690601221,0.0527414901637085,1
впрягаться ipf,-17.7919690601221,0.0527414901637085,1
уподоблять ipf,-17.7919690601221,0.0527414901637085,1
зарываться ipf,-17.7919690601221,0.0527414901637085,1
мусолить ipf,-17.7919690601221,0.0527414901637085,1
прислоняться ipf,-17.7919690601221,0.0527414901637085,1
совмещать ipf,-17.0546379227107,0.0537621455009077,1
печататься ipf,11.2475874608043,0.0545030393455905,1
размножать ipf,-17.7994338964404,0.0559683485863959,1
консервировать ipf,-17.7994338964404,0.0559683485863959,1
возбуждать ipf,-9.07666499088645,0.0590082869358716,1
подсаживать ipf,-17.773062405523,0.0596196704633114,1
выгораживать ipf,-17.773062405523,0.0596196704633114,1
втыкать ipf,-17.773062405523,0.0596196704633114,1
выздоравливать ipf,-9.55558891915175,0.0627839986741585,1
полнеть ipf,-17.7805272418413,0.0628465288859978,1
слабеть ipf,-8.25782596193153,0.0629758717217143,1
переключаться ipf,-17.7541557509239,0.0664978507629132,1
принижать ipf,-17.7541557509239,0.0664978507629132,1
раздвигать ipf,-17.2662201778617,0.0681947201737765,1
выкручивать ipf,-12.3132593479915,0.0730951768094611,1
отображать ipf,-19.0602204024767,0.0863526249776485,1
прессовать ipf,-18.7285047815147,0.0866405792481172,1
согласовывать ipf,-12.9509918539279,0.0966093951499633,1
выслушивать ipf,-2.09934228590364,0.0970940412155226,1
бесить ipf,-12.2127919718876,0.0998554902544612,1
дрессировать ipf,-18.6906914723165,0.100396939847322,1
отвозить ipf,-7.83953519291266,0.105841411089045,1
изготавливаться ipf,-12.2263961463535,0.106439723735806,1
осторожничать ipf,-17.6483858946869,0.10672057798886,1
обеднять ipf,-17.6483858946869,0.10672057798886,1
переваливать ipf,-17.6483858946869,0.10672057798886,1
уравновешиваться ipf,-17.6483858946869,0.10672057798886,1
прокрадываться ipf,-17.6483858946869,0.10672057798886,1
поглощаться ipf,-17.6483858946869,0.10672057798886,1
глупеть ipf,-17.6483858946869,0.10672057798886,1
украшаться ipf,-17.6483858946869,0.10672057798886,1
наворачивать ipf,-17.6483858946869,0.10672057798886,1
клепать ipf,-17.6483858946869,0.10672057798886,1
