token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
торгующих,торговать,ipf,partcp,tran,pl,praes,,,act
создан,создать,pf,partcp,tran,sg,praet,,,pass
проводимой,проводить,ipf,partcp,tran,sg,praes,,,pass
разоблачающая,разоблачать,ipf,partcp,tran,sg,praes,,,act
позабытый,позабыть,pf,partcp,tran,sg,praet,,,pass
поддерживающая,поддерживать,ipf,partcp,tran,sg,praes,,,act
заложенные,заложить,pf,partcp,tran,pl,praet,,,pass
напоминающее,напоминать,ipf,partcp,tran,sg,praes,,,act
налитый,налить,pf,partcp,tran,sg,praet,,,pass
сбывшаяся,сбыться,pf,partcp,intr,sg,praet,,,med
оставленную,оставить,pf,partcp,tran,sg,praet,,,pass
выдвинутого,выдвинуть,pf,partcp,tran,sg,praet,,,pass
изнизанная,изнизать,pf,partcp,tran,sg,praet,,,pass
внесённому,внести,pf,partcp,tran,sg,praet,,,pass
пропитано,пропитать,pf,partcp,tran,sg,praet,,,pass
называемые,называть,ipf,partcp,tran,pl,praes,,,pass
писавшую,писать,ipf,partcp,tran,sg,praet,,,act
озвученной,озвучить,pf,partcp,tran,sg,praet,,,pass
оттянутыми,оттянуть,pf,partcp,tran,pl,praet,,,pass
согревавшая,согревать,ipf,partcp,tran,sg,praet,,,act
выложенные,выложить,pf,partcp,tran,pl,praet,,,pass
отваренную,отварить,pf,partcp,tran,sg,praet,,,pass
растущее,расти,ipf,partcp,intr,sg,praes,,,act
прогибавшейся,прогибаться,ipf,partcp,intr,sg,praet,,,med
ходившую,ходить,ipf,partcp,intr,sg,praet,,,act
нацелен,нацелить,pf,partcp,tran,sg,praet,,,pass
предложенный,предложить,pf,partcp,tran,sg,praet,,,pass
придуман,придумать,pf,partcp,tran,sg,praet,,,pass
уставшего,устать,pf,partcp,intr,sg,praet,,,act
подрабатывавшую,подрабатывать,ipf,partcp,tran,sg,praet,,,act
связанным,связать,pf,partcp,tran,pl,praet,,,pass
впечатанный,впечатать,pf,partcp,tran,sg,praet,,,pass
наполненные,наполнить,pf,partcp,tran,pl,praet,,,pass
скоординированное,скоординировать,pf,partcp,tran,sg,praet,,,pass
наносимый,наносить,ipf,partcp,tran,sg,praes,,,pass
призван,призвать,pf,partcp,tran,sg,praet,,,pass
облитый,облить,pf,partcp,tran,sg,praet,,,pass
предусмотрены,предусмотреть,pf,partcp,tran,pl,praet,,,pass
встреченным,встретить,pf,partcp,tran,pl,praet,,,pass
наметившимися,наметиться,pf,partcp,intr,pl,praet,,,med
загублена,загубить,pf,partcp,tran,sg,praet,,,pass
указанную,указать,pf,partcp,tran,sg,praet,,,pass
расширенном,расширить,pf,partcp,tran,sg,praet,,,pass
отозвавшиеся,отозваться,pf,partcp,intr,pl,praet,,,med
расставлены,расставить,pf,partcp,tran,pl,praet,,,pass
брошенных,бросить,pf,partcp,tran,pl,praet,,,pass
подписанная,подписать,pf,partcp,tran,sg,praet,,,pass
изгнан,изгнать,pf,partcp,tran,sg,praet,,,pass
встреченных,встретить,pf,partcp,tran,pl,praet,,,pass
разбавленным,разбавить,pf,partcp,tran,sg,praet,,,pass
вычерчены,вычертить,pf,partcp,tran,pl,praet,,,pass
удостоившихся,удостоиться,pf,partcp,intr,pl,praet,,,med
лишены,лишить,pf,partcp,tran,pl,praet,,,pass
покинутым,покинуть,pf,partcp,tran,pl,praet,,,pass
представлена,представить,pf,partcp,tran,sg,praet,,,pass
изогнутыми,изогнуть,pf,partcp,tran,pl,praet,,,pass
свалившиеся,свалиться,pf,partcp,intr,pl,praet,,,med
подрастающие,подрастать,ipf,partcp,intr,pl,praes,,,act
положено,положить,pf,partcp,tran,sg,praet,,,pass
подсажен,подсадить,pf,partcp,tran,sg,praet,,,pass
сбиты,сбить,pf,partcp,tran,pl,praet,,,pass
действующие,действовать,ipf,partcp,intr,pl,praes,,,act
расчерченный,расчертить,pf,partcp,tran,sg,praet,,,pass
направленного,направить,pf,partcp,tran,sg,praet,,,pass
распечатанный,распечатать,pf,partcp,tran,sg,praet,,,pass
подготовлен,подготовить,pf,partcp,tran,sg,praet,,,pass
обшарпанные,обшарпать,pf,partcp,tran,pl,praet,,,pass
занимающейся,заниматься,ipf,partcp,intr,sg,praes,,,med
подвязанных,подвязать,pf,partcp,tran,pl,praet,,,pass
обёрнутую,обернуть,pf,partcp,tran,sg,praet,,,pass
ограничивающее,ограничивать,ipf,partcp,tran,sg,praes,,,act
идущий,идти,ipf,partcp,intr,sg,praes,,,act
удешевлённым,удешевить,pf,partcp,tran,pl,praet,,,pass
положенного,положить,pf,partcp,tran,sg,praet,,,pass
распаренной,распарить,pf,partcp,tran,sg,praet,,,pass
признаны,признать,pf,partcp,tran,pl,praet,,,pass
заняты,занять,pf,partcp,tran,pl,praet,,,pass
увядающий,увядать,ipf,partcp,intr,sg,praes,,,act
затуманенной,затуманить,pf,partcp,tran,sg,praet,,,pass
летящей,лететь,ipf,partcp,intr,sg,praes,,,act
помазано,помазать,pf,partcp,tran,sg,praet,,,pass
напоминавший,напоминать,ipf,partcp,tran,sg,praet,,,act
соединённый,соединить,pf,partcp,tran,sg,praet,,,pass
установлены,установить,pf,partcp,tran,pl,praet,,,pass
затрагивающим,затрагивать,ipf,partcp,tran,pl,praes,,,act
исключено,исключить,pf,partcp,tran,sg,praet,,,pass
возникающей,возникать,ipf,partcp,intr,sg,praes,,,act
раздражена,раздражить,pf,partcp,tran,sg,praet,,,pass
слившиеся,слиться,pf,partcp,intr,pl,praet,,,med
обличённый,обличить,pf,partcp,tran,sg,praet,,,pass
обтаявшего,обтаять,pf,partcp,intr,sg,praet,,,act
начинающаяся,начинаться,ipf,partcp,intr,sg,praes,,,med
