verb,factor1,factor2,group
стать pf,5810.41409542652,-1128.25657034386,3
спросить pf,3208.1131791692,-564.259664064827,3
пойти pf,1841.86634764128,-493.617626934348,3
прийти pf,1645.4008503727,-410.755639153777,3
сделать pf,1031.00069244225,-352.402636261613,3
понять pf,1550.77460107096,-341.449770406526,3
дать pf,846.755403597588,-336.522888431233,2
выйти pf,1508.2583362479,-324.253393499129,3
ответить pf,1769.83758012973,-321.699504980144,3
оказаться pf,1723.09281178745,-317.686449525525,3
увидеть pf,1212.95121783839,-313.065401005059,3
получить pf,782.720543187969,-303.822399056105,2
остаться pf,1267.27688746052,-291.049383230918,3
начать pf,1207.08323507221,-285.961626766214,3
пройти pf,1084.93653591786,-265.044650796158,3
подумать pf,1192.5383890259,-250.28112453244,3
решить pf,1125.4246290845,-245.606349685319,3
прийтись pf,661.739631303393,-243.362674392966,2
найти pf,742.43582045512,-229.065730711901,2
посмотреть pf,950.98106578795,-226.660031758262,2
написать pf,428.275742046575,-221.054366433343,1
уйти pf,944.121440902153,-215.839657520407,2
принять pf,370.662546199618,-212.248449389409,1
приехать pf,801.120694067695,-202.642680261356,2
появиться pf,965.179791306313,-199.368372588842,2
показать pf,490.791522419365,-176.030689235805,1
узнать pf,594.606599326874,-165.196040259676,2
подойти pf,839.48929512533,-163.28174465976,2
открыть pf,433.639510103528,-158.425527545181,1
сесть pf,746.929587555074,-152.760011244962,2
заметить pf,659.543301588209,-151.316664455433,2
войти pf,699.698735984655,-148.27384355537,2
рассказать pf,502.372112045585,-143.630966805583,2
забыть pf,487.133328830863,-143.512661714006,1
поставить pf,410.617792651672,-138.382048011401,1
произойти pf,584.016147311666,-136.989684529347,2
умереть pf,541.948959374179,-136.613682679863,2
связать pf,-99.0856353068651,-135.498725143743,1
успеть pf,575.057907120595,-132.56644818776,2
начаться pf,632.385499701799,-131.911770141834,2
встать pf,667.361955773203,-130.785417265926,2
привести pf,315.172419974607,-130.11968706489,1
поднять pf,558.21371879461,-129.11177676858,2
удаться pf,542.857676880806,-125.647663258409,2
создать pf,105.152902680414,-124.827936758695,1
провести pf,311.706542144242,-120.632083021073,1
вспомнить pf,538.702688635365,-120.579884583983,2
случиться pf,578.171525218905,-117.780695232549,2
положить pf,417.038752929164,-116.461790768128,1
попасть pf,493.775111543618,-114.655490250361,1
бросить pf,340.255383330423,-111.284438842862,1
представить pf,30.1241411275068,-109.539046479719,1
назвать pf,294.982775773347,-109.469400114141,1
предложить pf,370.693484654316,-109.322259985746,1
хватить pf,106.575708534014,-109.014298921686,1
остановиться pf,562.209387128967,-108.631754041238,2
получиться pf,410.164086447445,-108.593161546961,1
помочь pf,235.850194153032,-106.754660319247,1
вызвать pf,275.408826093892,-105.826035728427,1
снять pf,350.414052725398,-102.326334834771,1
принести pf,350.370092559229,-101.89618141513,1
оставить pf,276.549474249163,-100.931221084111,1
показаться pf,529.479876459976,-98.3204551485223,2
услышать pf,384.012280742357,-95.893733005454,1
улыбнуться pf,543.792573885081,-95.8374672047243,2
почувствовать pf,479.240477944141,-95.1131973224372,1
купить pf,253.749405741623,-94.309669346012,1
отдать pf,241.740676527416,-93.5346797845916,1
уехать pf,383.259052084083,-89.7494418434839,1
позвонить pf,337.155645676087,-89.0312322139017,1
убить pf,176.030295990356,-88.9729566800713,1
возникнуть pf,336.687943267669,-88.3033923382019,1
позволить pf,147.74103554009,-87.5564820804619,1
установить pf,21.9952648741467,-86.7793934446834,1
подняться pf,439.515333572491,-86.3425123474895,1
кончиться pf,318.503453256313,-84.4762084416499,1
выпить pf,231.592197837267,-82.2937794886202,1
согласиться pf,349.719696146488,-82.2781908793829,1
попросить pf,365.494645784179,-81.7635757595973,1
закрыть pf,169.534542064754,-81.6044142418016,1
заявить pf,387.846946915769,-80.5087543553965,1
измениться pf,273.829926913766,-80.1733752199475,1
обнаружить pf,217.94446261121,-78.5168985821624,1
упасть pf,329.320079579334,-78.3719324726615,1
потерять pf,269.195932311051,-77.9000223343873,1
произнести pf,374.103242423543,-77.8468041910651,1
перестать pf,319.810169470355,-77.5076211790876,1
исчезнуть pf,331.735667140094,-75.7364169190459,1
встретить pf,247.333576282726,-73.5975483077734,1
сообщить pf,357.165670202017,-72.8504372860066,1
вздохнуть pf,391.169841009203,-72.7207223376095,1
объяснить pf,255.068759784861,-71.7767429877206,1
зайти pf,232.400790782753,-71.1324721667945,1
привезти pf,252.403819402654,-70.6797033584248,1
привыкнуть pf,349.444858357883,-70.6516689677388,1
дойти pf,258.3064540517,-70.3871939233623,1
удивиться pf,379.90099918665,-69.5657626212159,1
заговорить pf,345.913651391094,-69.1828203567701,1
добавить pf,289.791350494534,-69.1459048785924,1
объявить pf,226.313463693354,-68.965926973079,1
занять pf,90.3528974625674,-68.1262457733308,1
построить pf,45.1806248872338,-65.8703519171257,1
отказаться pf,267.045526705834,-65.3666787219361,1
собрать pf,133.341582544806,-65.2876058043432,1
протянуть pf,297.109267647837,-65.2333661998033,1
устроить pf,146.352448303769,-64.9926328530711,1
погибнуть pf,221.824553059458,-64.93563628131,1
пригласить pf,216.430693115309,-64.8174728855984,1
повторить pf,293.526785046572,-64.0165782566675,1
родиться pf,337.354116149153,-63.9069195963307,1
отметить pf,133.087677856155,-62.8500035435353,1
понравиться pf,283.61801349035,-62.5997821808568,1
составить pf,118.518686411484,-62.1345789956457,1
назначить pf,60.1768628374304,-61.9879776840963,1
определить pf,61.3784128123098,-61.2029271509212,1
придумать pf,170.370106212273,-60.3318170120516,1
направить pf,11.8863367164306,-59.6806806962387,1
пропасть pf,193.782284145635,-58.8258582202073,1
выбрать pf,143.441986508565,-58.6557799730048,1
посвятить pf,-20.8795637955088,-58.1286221345115,1
вырасти pf,204.143336551314,-58.0114730702134,1
собраться pf,248.366845339386,-57.7123572300529,1
проговорить pf,320.849964853848,-57.5256587683766,1
достать pf,249.919351470995,-56.7032423551593,1
передать pf,122.178175681595,-55.3817232064438,1
подписать pf,68.822886261784,-55.1696907362178,1
воскликнуть pf,295.65371019636,-55.0761957972729,1
поступить pf,213.775323017551,-54.7718655026974,1
представляться pf,60.5574805954546,-54.0670719360077,1
лечь pf,234.558579652164,-53.9754946061941,1
ударить pf,230.9591113654,-53.8376585673026,1
указать pf,50.4950466334835,-53.5955134786265,1
усмехнуться pf,290.057135349272,-53.3511214401689,1
взглянуть pf,230.049520582193,-52.5178182400524,1
расположить pf,-59.0166237310022,-51.8597728458957,1
поверить pf,131.513258984419,-51.7106172664297,1
прочесть pf,181.420389720291,-51.429316454292,1
заставить pf,154.499157976826,-51.3685981879476,1
встретиться pf,191.106417164286,-51.2838690784085,1
послать pf,130.710668648093,-51.2769751324366,1
наступить pf,196.046141795059,-51.0898349299963,1
проснуться pf,201.024170502957,-50.580155191377,1
записать pf,76.0466056843397,-50.2500311255014,1
посадить pf,108.840556900989,-49.5233552656519,1
перейти pf,181.94118459968,-49.4853861143025,1
схватить pf,203.667365367968,-49.3163782707814,1
достигнуть pf,123.437004530978,-49.2874041496944,1
найтись pf,129.667601987931,-47.9857870619761,1
вынуть pf,230.440221275001,-47.8601425732122,1
закончить pf,113.183325440299,-47.5312606175976,1
выясниться pf,231.872582376529,-47.1683601774773,1
превратиться pf,178.121486853335,-47.1580105162339,1
признать pf,74.7540515806135,-46.2154510651838,1
поразить pf,107.484846916521,-45.6224554077074,1
явиться pf,224.679634198655,-45.5241976855632,1
обратиться pf,215.793732949673,-45.3861967649522,1
простить pf,-24.6948499803339,-45.0413145139904,1
включить pf,59.9242705189055,-44.4825035478705,1
обратить pf,91.3110317370843,-44.316862952682,1
разработать pf,0.220361262004564,-44.1298927311255,1
продать pf,53.8993454824148,-44.1164882461823,1
поглядеть pf,185.398612819343,-43.9809579336932,1
прожить pf,118.318557583977,-43.830496225031,1
попробовать pf,40.8256227057005,-43.474969382962,1
приказать pf,152.619845117709,-43.3275316221262,1
сойти pf,152.988068100226,-43.0555623773669,1
повезти pf,174.793137146156,-42.970757335349,1
подать pf,142.604598964823,-42.9149116487644,1
описать pf,0.176639234076115,-42.8626380650041,1
арестовать pf,57.3839516809907,-42.8194370478628,1
повести pf,176.610789096801,-42.6397530227115,1
догадаться pf,175.505719288228,-42.4541079804987,1
подтвердить pf,173.624876442095,-42.4227719074866,1
