агитировать	сагитировать	с
актировать	заактировать	за
анализировать	проанализировать	про
аннотировать	проаннотировать	про
арканить	заарканить	за
асфальтировать	заасфальтировать	за
багроветь	побагроветь	по
баламутить	взбаламутить	вз
балансировать	сбалансировать	с
балластировать	забалластировать	за
баловать	избаловать	из
бальзамировать	забальзамировать	за
бальзамировать	набальзамировать	на
банкротиться	обанкротиться	о
баррикадировать	забаррикадировать	за
баррикадироваться	забаррикадироваться	за
басить	пробасить	про
баюкать	убаюкать	у
беднеть	обеднеть	о
бедокурить	набедокурить	на
безобразить	обезобразить	о
безобразничать	набезобразничать	на
белеть	побелеть	по
белить	выбелить	вы
белить	набелить	на
белить	побелить	по
белиться	набелиться	на
бередить	разбередить	раз
беременеть	забеременеть	за
беречься	поберечься	по
бесить	взбесить	вз
беситься	взбеситься	вз
беспокоить	обеспокоить	о
беспокоить	побеспокоить	по
беспокоиться	обеспокоиться	о
беспокоиться	побеспокоиться	по
бессилить	обессилить	о
бесславить	обесславить	о
бесчестить	обесчестить	о
бетонировать	забетонировать	за
бинтовать	забинтовать	за
бить	побить	по
бить	пробить	про
бить	разбить	раз
биться	побиться	по
благодарить	поблагодарить	по
бледнеть	побледнеть	по
блекнуть	поблекнуть	по
близиться	приблизиться	при
блюсти	соблюсти	с
богатеть	разбогатеть	раз
бодать	забодать	за
бодрить	взбодрить	вз
божиться	побожиться	по
болтать	взболтать	вз
бормотать	пробормотать	про
бороздить	взбороздить	вз
боронить	взборонить	вз
бороновать	взбороновать	вз
бороновать	забороновать	за
бороть	побороть	по
бояться	побояться	по
браковать	забраковать	за
бранить	выбранить	вы
браниться	выбраниться	вы
браниться	побраниться	по
брататься	побрататься	по
брезгать	побрезгать	по
брезговать	побрезговать	по
бренчать	пробренчать	про
брехать	пробрехать	про
брить	побрить	по
бриться	побриться	по
бродить	выбродить	вы
бронзировать	набронзировать	на
бронировать	забронировать	за
бронировать	забронировать	за
брошюровать	сброшюровать	с
брюзгнуть	обрюзгнуть	о
брюзжать	пробрюзжать	про
бряцать	пробряцать	про
бубнить	пробубнить	про
будить	пробудить	про
будить	разбудить	раз
будоражить	взбудоражить	вз
будоражиться	взбудоражиться	вз
бузить	набузить	на
